RECEPTOR,odorant,SMILES,output,Protein sequence
AgOr9,tridecanoic-acid,,-1,
AgOr10,tridecanoic-acid,,2,
AgOr11,tridecanoic-acid,,0,
AgOr12,tridecanoic-acid,,-1,
AgOr13,tridecanoic-acid,,-2,
AgOr15,tridecanoic-acid,,1,
AgOr16,tridecanoic-acid,,-1,
AgOr18,tridecanoic-acid,,-1,
AgOr20,tridecanoic-acid,,-1,
AgOr21,tridecanoic-acid,,-1,
AgOr23,tridecanoic-acid,,2,
AgOr25,tridecanoic-acid,,4,
AgOr26,tridecanoic-acid,,-3,
AgOr27,tridecanoic-acid,,0,
AgOr30,tridecanoic-acid,,4,
AgOr31,tridecanoic-acid,,1,
AgOr32,tridecanoic-acid,,2,
AgOr33,tridecanoic-acid,,2,
AgOr35,tridecanoic-acid,,1,
AgOr38,tridecanoic-acid,,-1,
AgOr39,tridecanoic-acid,,-3,
AgOr41,tridecanoic-acid,,2,
AgOr42,tridecanoic-acid,,3,
AgOr43,tridecanoic-acid,,1,
AgOr44,tridecanoic-acid,,5,
AgOr45,tridecanoic-acid,,3,
AgOr46,tridecanoic-acid,,2,
AgOr48,tridecanoic-acid,,1,
AgOr50,tridecanoic-acid,,6,
AgOr53,tridecanoic-acid,,-1,
AgOr54,tridecanoic-acid,,-1,
AgOr56,tridecanoic-acid,,0,
AgOr57,tridecanoic-acid,,4,
AgOr59,tridecanoic-acid,,3,
AgOr61,tridecanoic-acid,,-2,
AgOr63,tridecanoic-acid,,0,
AgOr64,tridecanoic-acid,,3,
AgOr65,tridecanoic-acid,,5,
AgOr66,tridecanoic-acid,,0,
AgOr67,tridecanoic-acid,,2,
AgOr73,tridecanoic-acid,,0,
AgOr75,tridecanoic-acid,,1,
AgOr76,tridecanoic-acid,,-5,
AgOr1,tetradecanoic-acid,,6,
AgOr2,tetradecanoic-acid,,7,
AgOr3,tetradecanoic-acid,,1,
AgOr4,tetradecanoic-acid,,2,
AgOr5,tetradecanoic-acid,,1,
AgOr6,tetradecanoic-acid,,2,
AgOr8,tetradecanoic-acid,,13,
AgOr9,tetradecanoic-acid,,0,
AgOr10,tetradecanoic-acid,,1,
AgOr11,tetradecanoic-acid,,-1,
AgOr12,tetradecanoic-acid,,1,
AgOr13,tetradecanoic-acid,,2,
AgOr15,tetradecanoic-acid,,2,
AgOr16,tetradecanoic-acid,,2,
AgOr18,tetradecanoic-acid,,0,
AgOr20,tetradecanoic-acid,,3,
AgOr21,tetradecanoic-acid,,-2,
AgOr23,tetradecanoic-acid,,0,
AgOr25,tetradecanoic-acid,,-2,
AgOr26,tetradecanoic-acid,,1,
AgOr27,tetradecanoic-acid,,2,
AgOr30,tetradecanoic-acid,,2,
AgOr31,tetradecanoic-acid,,0,
AgOr32,tetradecanoic-acid,,0,
AgOr33,tetradecanoic-acid,,-2,
AgOr35,tetradecanoic-acid,,-2,
AgOr38,tetradecanoic-acid,,-2,
AgOr39,tetradecanoic-acid,,-1,
AgOr41,tetradecanoic-acid,,0,
AgOr42,tetradecanoic-acid,,2,
AgOr43,tetradecanoic-acid,,-1,
AgOr44,tetradecanoic-acid,,-5,
AgOr45,tetradecanoic-acid,,4,
AgOr46,tetradecanoic-acid,,2,
AgOr48,tetradecanoic-acid,,-1,
AgOr50,tetradecanoic-acid,,10,
AgOr53,tetradecanoic-acid,,2,
AgOr54,tetradecanoic-acid,,0,
AgOr56,tetradecanoic-acid,,-4,
AgOr57,tetradecanoic-acid,,5,
AgOr59,tetradecanoic-acid,,1,
AgOr61,tetradecanoic-acid,,-1,
AgOr63,tetradecanoic-acid,,4,
AgOr64,tetradecanoic-acid,,3,
AgOr65,tetradecanoic-acid,,-2,
AgOr66,tetradecanoic-acid,,1,
AgOr67,tetradecanoic-acid,,2,
AgOr73,tetradecanoic-acid,,0,
AgOr75,tetradecanoic-acid,,2,
AgOr76,tetradecanoic-acid,,4,
AgOr1,hexadecanoic-acid,,2,
AgOr2,hexadecanoic-acid,,10,
AgOr3,hexadecanoic-acid,,5,
AgOr4,hexadecanoic-acid,,2,
AgOr5,hexadecanoic-acid,,9,
AgOr6,hexadecanoic-acid,,7,
AgOr8,hexadecanoic-acid,,-1,
AgOr9,hexadecanoic-acid,,2,
AgOr10,hexadecanoic-acid,,5,
AgOr11,hexadecanoic-acid,,10,
AgOr12,hexadecanoic-acid,,21,
AgOr13,hexadecanoic-acid,,5,
AgOr15,hexadecanoic-acid,,17,
AgOr16,hexadecanoic-acid,,0,
AgOr18,hexadecanoic-acid,,28,
AgOr20,hexadecanoic-acid,,24,
AgOr21,hexadecanoic-acid,,39,
AgOr23,hexadecanoic-acid,,4,
AgOr25,hexadecanoic-acid,,4,
AgOr26,hexadecanoic-acid,,11,
AgOr27,hexadecanoic-acid,,9,
AgOr30,hexadecanoic-acid,,7,
AgOr31,hexadecanoic-acid,,4,
AgOr32,hexadecanoic-acid,,14,
AgOr33,hexadecanoic-acid,,-4,
AgOr35,hexadecanoic-acid,,-12,
AgOr38,hexadecanoic-acid,,-1,
AgOr39,hexadecanoic-acid,,4,
AgOr41,hexadecanoic-acid,,-6,
AgOr42,hexadecanoic-acid,,2,
AgOr43,hexadecanoic-acid,,-1,
AgOr44,hexadecanoic-acid,,-6,
AgOr45,hexadecanoic-acid,,0,
AgOr46,hexadecanoic-acid,,36,
AgOr48,hexadecanoic-acid,,11,
AgOr50,hexadecanoic-acid,,28,
AgOr53,hexadecanoic-acid,,28,
AgOr54,hexadecanoic-acid,,-15,
AgOr56,hexadecanoic-acid,,10,
AgOr57,hexadecanoic-acid,,31,
AgOr59,hexadecanoic-acid,,2,
AgOr61,hexadecanoic-acid,,11,
AgOr63,hexadecanoic-acid,,6,
AgOr64,hexadecanoic-acid,,3,
AgOr65,hexadecanoic-acid,,0,
AgOr66,hexadecanoic-acid,,-4,
AgOr67,hexadecanoic-acid,,-9,
AgOr73,hexadecanoic-acid,,12,
AgOr75,hexadecanoic-acid,,-5,
AgOr76,hexadecanoic-acid,,-2,
AgOr1,octadecanoic-acid,,5,
AgOr2,octadecanoic-acid,,6,
AgOr3,octadecanoic-acid,,8,
AgOr4,octadecanoic-acid,,1,
AgOr5,octadecanoic-acid,,10,
AgOr6,octadecanoic-acid,,11,
AgOr8,octadecanoic-acid,,-1,
AgOr9,octadecanoic-acid,,1,
AgOr10,octadecanoic-acid,,12,
AgOr11,octadecanoic-acid,,1,
AgOr12,octadecanoic-acid,,38,
AgOr13,octadecanoic-acid,,1,
AgOr15,octadecanoic-acid,,16,
AgOr16,octadecanoic-acid,,0,
AgOr18,octadecanoic-acid,,27,
AgOr20,octadecanoic-acid,,22,
AgOr21,octadecanoic-acid,,44,
AgOr23,octadecanoic-acid,,3,
AgOr25,octadecanoic-acid,,2,
AgOr26,octadecanoic-acid,,7,
AgOr27,octadecanoic-acid,,12,
AgOr30,octadecanoic-acid,,6,
AgOr31,octadecanoic-acid,,4,
AgOr32,octadecanoic-acid,,13,
AgOr33,octadecanoic-acid,,-9,
AgOr35,octadecanoic-acid,,-5,
AgOr38,octadecanoic-acid,,4,
AgOr39,octadecanoic-acid,,2,
AgOr41,octadecanoic-acid,,-3,
AgOr42,octadecanoic-acid,,3,
AgOr43,octadecanoic-acid,,-6,
AgOr44,octadecanoic-acid,,-5,
AgOr45,octadecanoic-acid,,-1,
AgOr46,octadecanoic-acid,,32,
AgOr48,octadecanoic-acid,,12,
AgOr50,octadecanoic-acid,,19,
AgOr53,octadecanoic-acid,,27,
AgOr54,octadecanoic-acid,,-6,
AgOr56,octadecanoic-acid,,17,
AgOr57,octadecanoic-acid,,34,
AgOr59,octadecanoic-acid,,5,
AgOr61,octadecanoic-acid,,14,
AgOr63,octadecanoic-acid,,7,
AgOr64,octadecanoic-acid,,4,
AgOr65,octadecanoic-acid,,0,
AgOr66,octadecanoic-acid,,-1,
AgOr67,octadecanoic-acid,,-9,
AgOr73,octadecanoic-acid,,6,
AgOr75,octadecanoic-acid,,-4,
AgOr76,octadecanoic-acid,,3,
AgOr1,L(+)-lactic-acid,,-13,
AgOr2,L(+)-lactic-acid,,5,
AgOr3,L(+)-lactic-acid,,12,
AgOr4,L(+)-lactic-acid,,-1,
AgOr5,L(+)-lactic-acid,,0,
AgOr6,L(+)-lactic-acid,,4,
AgOr8,L(+)-lactic-acid,,-5,
AgOr9,L(+)-lactic-acid,,-3,
AgOr10,L(+)-lactic-acid,,12,
AgOr11,L(+)-lactic-acid,,8,
AgOr12,L(+)-lactic-acid,,2,
AgOr13,L(+)-lactic-acid,,-2,
AgOr15,L(+)-lactic-acid,,0,
AgOr16,L(+)-lactic-acid,,0,
AgOr18,L(+)-lactic-acid,,13,
AgOr20,L(+)-lactic-acid,,-8,
AgOr21,L(+)-lactic-acid,,7,
AgOr23,L(+)-lactic-acid,,5,
AgOr25,L(+)-lactic-acid,,-6,
AgOr26,L(+)-lactic-acid,,8,
AgOr27,L(+)-lactic-acid,,3,
AgOr30,L(+)-lactic-acid,,-1,
AgOr31,L(+)-lactic-acid,,5,
AgOr32,L(+)-lactic-acid,,-13,
AgOr33,L(+)-lactic-acid,,-4,
AgOr35,L(+)-lactic-acid,,-15,
AgOr38,L(+)-lactic-acid,,-11,
AgOr39,L(+)-lactic-acid,,-1,
AgOr41,L(+)-lactic-acid,,-22,
AgOr42,L(+)-lactic-acid,,-2,
AgOr43,L(+)-lactic-acid,,-22,
AgOr44,L(+)-lactic-acid,,-16,
AgOr45,L(+)-lactic-acid,,-7,
AgOr46,L(+)-lactic-acid,,50,
AgOr48,L(+)-lactic-acid,,-2,
AgOr50,L(+)-lactic-acid,,10,
AgOr53,L(+)-lactic-acid,,7,
AgOr54,L(+)-lactic-acid,,-22,
AgOr56,L(+)-lactic-acid,,-1,
AgOr57,L(+)-lactic-acid,,7,
AgOr59,L(+)-lactic-acid,,-6,
AgOr61,L(+)-lactic-acid,,0,
AgOr63,L(+)-lactic-acid,,1,
AgOr64,L(+)-lactic-acid,,-10,
AgOr65,L(+)-lactic-acid,,-2,
AgOr66,L(+)-lactic-acid,,-11,
AgOr67,L(+)-lactic-acid,,-10,
AgOr73,L(+)-lactic-acid,,0,
AgOr75,L(+)-lactic-acid,,-11,
AgOr76,L(+)-lactic-acid,,-2,
AgOr1,2-oxopropanoic-acid,,-8,
AgOr2,2-oxopropanoic-acid,,3,
AgOr3,2-oxopropanoic-acid,,-3,
AgOr4,2-oxopropanoic-acid,,9,
AgOr5,2-oxopropanoic-acid,,1,
AgOr6,2-oxopropanoic-acid,,7,
AgOr8,2-oxopropanoic-acid,,-1,
AgOr9,2-oxopropanoic-acid,,-3,
AgOr10,2-oxopropanoic-acid,,-3,
AgOr11,2-oxopropanoic-acid,,3,
AgOr12,2-oxopropanoic-acid,,0,
AgOr13,2-oxopropanoic-acid,,1,
AgOr15,2-oxopropanoic-acid,,1,
AgOr16,2-oxopropanoic-acid,,1,
AgOr18,2-oxopropanoic-acid,,3,
AgOr20,2-oxopropanoic-acid,,-6,
AgOr21,2-oxopropanoic-acid,,-3,
AgOr23,2-oxopropanoic-acid,,4,
AgOr25,2-oxopropanoic-acid,,-6,
AgOr26,2-oxopropanoic-acid,,7,
AgOr27,2-oxopropanoic-acid,,3,
AgOr30,2-oxopropanoic-acid,,0,
AgOr31,2-oxopropanoic-acid,,-4,
AgOr32,2-oxopropanoic-acid,,-11,
AgOr33,2-oxopropanoic-acid,,-7,
AgOr35,2-oxopropanoic-acid,,-7,
AgOr38,2-oxopropanoic-acid,,-3,
AgOr39,2-oxopropanoic-acid,,-1,
AgOr41,2-oxopropanoic-acid,,-7,
AgOr42,2-oxopropanoic-acid,,-2,
AgOr43,2-oxopropanoic-acid,,-17,
AgOr44,2-oxopropanoic-acid,,-12,
AgOr45,2-oxopropanoic-acid,,5,
AgOr46,2-oxopropanoic-acid,,0,
AgOr48,2-oxopropanoic-acid,,-1,
AgOr50,2-oxopropanoic-acid,,15,
AgOr53,2-oxopropanoic-acid,,6,
AgOr54,2-oxopropanoic-acid,,-4,
AgOr56,2-oxopropanoic-acid,,-2,
AgOr57,2-oxopropanoic-acid,,7,
AgOr59,2-oxopropanoic-acid,,0,
AgOr61,2-oxopropanoic-acid,,-1,
AgOr63,2-oxopropanoic-acid,,1,
AgOr64,2-oxopropanoic-acid,,-8,
AgOr65,2-oxopropanoic-acid,,1,
AgOr66,2-oxopropanoic-acid,,-3,
AgOr67,2-oxopropanoic-acid,,-2,
AgOr73,2-oxopropanoic-acid,,1,
AgOr75,2-oxopropanoic-acid,,-3,
AgOr76,2-oxopropanoic-acid,,2,
AgOr1,isobutyric-acid,,-9,
AgOr2,isobutyric-acid,,2,
AgOr3,isobutyric-acid,,-7,
AgOr4,isobutyric-acid,,6,
AgOr5,isobutyric-acid,,-3,
AgOr6,isobutyric-acid,,0,
AgOr8,isobutyric-acid,,-4,
AgOr9,isobutyric-acid,,2,
AgOr10,isobutyric-acid,,-3,
AgOr11,isobutyric-acid,,6,
AgOr12,isobutyric-acid,,-1,
AgOr13,isobutyric-acid,,-7,
AgOr15,isobutyric-acid,,7,
AgOr16,isobutyric-acid,,2,
AgOr18,isobutyric-acid,,19,
AgOr20,isobutyric-acid,,3,
AgOr21,isobutyric-acid,,8,
AgOr23,isobutyric-acid,,-1,
AgOr25,isobutyric-acid,,-8,
AgOr26,isobutyric-acid,,1,
AgOr27,isobutyric-acid,,5,
AgOr30,isobutyric-acid,,2,
AgOr31,isobutyric-acid,,-2,
AgOr32,isobutyric-acid,,-8,
AgOr33,isobutyric-acid,,-14,
AgOr35,isobutyric-acid,,-7,
AgOr38,isobutyric-acid,,-5,
AgOr39,isobutyric-acid,,1,
AgOr41,isobutyric-acid,,-7,
AgOr42,isobutyric-acid,,-9,
AgOr43,isobutyric-acid,,-17,
AgOr44,isobutyric-acid,,-4,
AgOr45,isobutyric-acid,,-10,
AgOr46,isobutyric-acid,,47,
AgOr48,isobutyric-acid,,-4,
AgOr50,isobutyric-acid,,32,
AgOr53,isobutyric-acid,,-6,
AgOr54,isobutyric-acid,,-22,
AgOr56,isobutyric-acid,,3,
AgOr57,isobutyric-acid,,-3,
AgOr59,isobutyric-acid,,-6,
AgOr61,isobutyric-acid,,2,
AgOr63,isobutyric-acid,,1,
AgOr64,isobutyric-acid,,-2,
AgOr65,isobutyric-acid,,-1,
AgOr66,isobutyric-acid,,-14,
AgOr67,isobutyric-acid,,-12,
AgOr73,isobutyric-acid,,4,
AgOr75,isobutyric-acid,,-9,
AgOr76,isobutyric-acid,,0,
AgOr1,2-oxobutanoic-acid,,-16,
AgOr2,2-oxobutanoic-acid,,11,
AgOr3,2-oxobutanoic-acid,,7,
AgOr4,2-oxobutanoic-acid,,36,
AgOr5,2-oxobutanoic-acid,,15,
AgOr6,2-oxobutanoic-acid,,14,
AgOr8,2-oxobutanoic-acid,,-2,
AgOr9,2-oxobutanoic-acid,,5,
AgOr10,2-oxobutanoic-acid,,-5,
AgOr11,2-oxobutanoic-acid,,1,
AgOr12,2-oxobutanoic-acid,,0,
AgOr13,2-oxobutanoic-acid,,7,
AgOr15,2-oxobutanoic-acid,,6,
AgOr16,2-oxobutanoic-acid,,3,
AgOr18,2-oxobutanoic-acid,,35,
AgOr20,2-oxobutanoic-acid,,-4,
AgOr21,2-oxobutanoic-acid,,8,
AgOr23,2-oxobutanoic-acid,,2,
AgOr25,2-oxobutanoic-acid,,-9,
AgOr26,2-oxobutanoic-acid,,7,
AgOr27,2-oxobutanoic-acid,,7,
AgOr30,2-oxobutanoic-acid,,0,
AgOr31,2-oxobutanoic-acid,,1,
AgOr32,2-oxobutanoic-acid,,33,
AgOr33,2-oxobutanoic-acid,,-8,
AgOr35,2-oxobutanoic-acid,,-13,
AgOr38,2-oxobutanoic-acid,,-2,
AgOr39,2-oxobutanoic-acid,,19,
AgOr41,2-oxobutanoic-acid,,-5,
AgOr42,2-oxobutanoic-acid,,4,
AgOr43,2-oxobutanoic-acid,,-21,
AgOr44,2-oxobutanoic-acid,,-19,
AgOr45,2-oxobutanoic-acid,,-3,
AgOr46,2-oxobutanoic-acid,,45,
AgOr48,2-oxobutanoic-acid,,-1,
AgOr50,2-oxobutanoic-acid,,38,
AgOr53,2-oxobutanoic-acid,,0,
AgOr54,2-oxobutanoic-acid,,-22,
AgOr56,2-oxobutanoic-acid,,-4,
AgOr57,2-oxobutanoic-acid,,22,
AgOr59,2-oxobutanoic-acid,,-4,
AgOr61,2-oxobutanoic-acid,,2,
AgOr63,2-oxobutanoic-acid,,1,
AgOr64,2-oxobutanoic-acid,,11,
AgOr65,2-oxobutanoic-acid,,-8,
AgOr66,2-oxobutanoic-acid,,-11,
AgOr67,2-oxobutanoic-acid,,-15,
AgOr73,2-oxobutanoic-acid,,0,
AgOr75,2-oxobutanoic-acid,,-11,
AgOr76,2-oxobutanoic-acid,,-4,
AgOr1,isovaleric-acid,,-1,
AgOr2,isovaleric-acid,,0,
AgOr3,isovaleric-acid,,-2,
AgOr4,isovaleric-acid,,15,
AgOr5,isovaleric-acid,,-1,
AgOr6,isovaleric-acid,,-2,
AgOr8,isovaleric-acid,,-1,
AgOr9,isovaleric-acid,,-3,
AgOr10,isovaleric-acid,,1,
AgOr11,isovaleric-acid,,3,
AgOr12,isovaleric-acid,,-1,
AgOr13,isovaleric-acid,,0,
AgOr15,isovaleric-acid,,1,
AgOr16,isovaleric-acid,,0,
AgOr18,isovaleric-acid,,-2,
AgOr20,isovaleric-acid,,13,
AgOr21,isovaleric-acid,,9,
AgOr23,isovaleric-acid,,0,
AgOr25,isovaleric-acid,,-5,
AgOr26,isovaleric-acid,,0,
AgOr27,isovaleric-acid,,13,
AgOr30,isovaleric-acid,,5,
AgOr31,isovaleric-acid,,7,
AgOr32,isovaleric-acid,,-3,
AgOr33,isovaleric-acid,,-3,
AgOr35,isovaleric-acid,,-4,
AgOr38,isovaleric-acid,,-1,
AgOr39,isovaleric-acid,,5,
AgOr41,isovaleric-acid,,-6,
AgOr42,isovaleric-acid,,-12,
AgOr43,isovaleric-acid,,-14,
AgOr44,isovaleric-acid,,4,
AgOr45,isovaleric-acid,,-7,
AgOr46,isovaleric-acid,,46,
AgOr48,isovaleric-acid,,8,
AgOr50,isovaleric-acid,,38,
AgOr53,isovaleric-acid,,-1,
AgOr54,isovaleric-acid,,-14,
AgOr56,isovaleric-acid,,1,
AgOr57,isovaleric-acid,,0,
AgOr59,isovaleric-acid,,0,
AgOr61,isovaleric-acid,,-1,
AgOr63,isovaleric-acid,,-1,
AgOr64,isovaleric-acid,,1,
AgOr65,isovaleric-acid,,0,
AgOr66,isovaleric-acid,,-14,
AgOr67,isovaleric-acid,,-8,
AgOr73,isovaleric-acid,,0,
AgOr75,isovaleric-acid,,28,
AgOr76,isovaleric-acid,,0,
AgOr1,2-oxopentanoic-acid,,-8,
AgOr2,2-oxopentanoic-acid,,1,
AgOr3,2-oxopentanoic-acid,,-2,
AgOr4,2-oxopentanoic-acid,,19,
AgOr5,2-oxopentanoic-acid,,4,
AgOr6,2-oxopentanoic-acid,,-1,
AgOr8,2-oxopentanoic-acid,,-6,
AgOr9,2-oxopentanoic-acid,,4,
AgOr10,2-oxopentanoic-acid,,4,
AgOr11,2-oxopentanoic-acid,,1,
AgOr12,2-oxopentanoic-acid,,0,
AgOr13,2-oxopentanoic-acid,,-5,
AgOr15,2-oxopentanoic-acid,,-2,
AgOr16,2-oxopentanoic-acid,,0,
AgOr18,2-oxopentanoic-acid,,-7,
AgOr20,2-oxopentanoic-acid,,14,
AgOr21,2-oxopentanoic-acid,,12,
AgOr23,2-oxopentanoic-acid,,-1,
AgOr25,2-oxopentanoic-acid,,-5,
AgOr26,2-oxopentanoic-acid,,6,
AgOr27,2-oxopentanoic-acid,,9,
AgOr30,2-oxopentanoic-acid,,-3,
AgOr31,2-oxopentanoic-acid,,7,
AgOr32,2-oxopentanoic-acid,,-2,
AgOr33,2-oxopentanoic-acid,,-3,
AgOr35,2-oxopentanoic-acid,,-1,
AgOr38,2-oxopentanoic-acid,,2,
AgOr39,2-oxopentanoic-acid,,1,
AgOr41,2-oxopentanoic-acid,,-10,
AgOr42,2-oxopentanoic-acid,,1,
AgOr43,2-oxopentanoic-acid,,-23,
AgOr44,2-oxopentanoic-acid,,-2,
AgOr45,2-oxopentanoic-acid,,-4,
AgOr46,2-oxopentanoic-acid,,40,
AgOr48,2-oxopentanoic-acid,,1,
AgOr50,2-oxopentanoic-acid,,28,
AgOr53,2-oxopentanoic-acid,,-2,
AgOr54,2-oxopentanoic-acid,,-25,
AgOr56,2-oxopentanoic-acid,,-2,
AgOr57,2-oxopentanoic-acid,,0,
AgOr59,2-oxopentanoic-acid,,-5,
AgOr61,2-oxopentanoic-acid,,1,
AgOr63,2-oxopentanoic-acid,,3,
AgOr64,2-oxopentanoic-acid,,6,
AgOr65,2-oxopentanoic-acid,,2,
AgOr66,2-oxopentanoic-acid,,-6,
AgOr67,2-oxopentanoic-acid,,-9,
AgOr73,2-oxopentanoic-acid,,3,
AgOr75,2-oxopentanoic-acid,,-5,
AgOr76,2-oxopentanoic-acid,,1,
AgOr1,2-oxohexenoic-acid,,2,
AgOr2,2-oxohexenoic-acid,,1,
AgOr3,2-oxohexenoic-acid,,-3,
AgOr4,2-oxohexenoic-acid,,3,
AgOr5,2-oxohexenoic-acid,,1,
AgOr6,2-oxohexenoic-acid,,0,
AgOr8,2-oxohexenoic-acid,,12,
AgOr9,2-oxohexenoic-acid,,1,
AgOr10,2-oxohexenoic-acid,,-7,
AgOr11,2-oxohexenoic-acid,,3,
AgOr12,2-oxohexenoic-acid,,-1,
AgOr13,2-oxohexenoic-acid,,4,
AgOr15,2-oxohexenoic-acid,,-2,
AgOr16,2-oxohexenoic-acid,,0,
AgOr18,2-oxohexenoic-acid,,0,
AgOr20,2-oxohexenoic-acid,,3,
AgOr21,2-oxohexenoic-acid,,3,
AgOr23,2-oxohexenoic-acid,,-1,
AgOr25,2-oxohexenoic-acid,,-8,
AgOr26,2-oxohexenoic-acid,,1,
AgOr27,2-oxohexenoic-acid,,0,
AgOr30,2-oxohexenoic-acid,,10,
AgOr31,2-oxohexenoic-acid,,1,
AgOr32,2-oxohexenoic-acid,,2,
AgOr33,2-oxohexenoic-acid,,-5,
AgOr35,2-oxohexenoic-acid,,-8,
AgOr38,2-oxohexenoic-acid,,0,
AgOr39,2-oxohexenoic-acid,,-4,
AgOr41,2-oxohexenoic-acid,,-10,
AgOr42,2-oxohexenoic-acid,,-3,
AgOr43,2-oxohexenoic-acid,,-5,
AgOr44,2-oxohexenoic-acid,,-6,
AgOr45,2-oxohexenoic-acid,,-6,
AgOr46,2-oxohexenoic-acid,,16,
AgOr48,2-oxohexenoic-acid,,-2,
AgOr50,2-oxohexenoic-acid,,2,
AgOr53,2-oxohexenoic-acid,,-2,
AgOr54,2-oxohexenoic-acid,,-8,
AgOr56,2-oxohexenoic-acid,,1,
AgOr57,2-oxohexenoic-acid,,2,
AgOr59,2-oxohexenoic-acid,,0,
AgOr61,2-oxohexenoic-acid,,2,
AgOr63,2-oxohexenoic-acid,,2,
AgOr64,2-oxohexenoic-acid,,4,
AgOr65,2-oxohexenoic-acid,,2,
AgOr66,2-oxohexenoic-acid,,-4,
AgOr67,2-oxohexenoic-acid,,-1,
AgOr73,2-oxohexenoic-acid,,1,
AgOr75,2-oxohexenoic-acid,,-3,
AgOr76,2-oxohexenoic-acid,,-2,
AgOr1,3-methyl-2-hexenoic-acid,,-8,
AgOr2,3-methyl-2-hexenoic-acid,,2,
AgOr3,3-methyl-2-hexenoic-acid,,-4,
AgOr4,3-methyl-2-hexenoic-acid,,2,
AgOr5,3-methyl-2-hexenoic-acid,,0,
AgOr6,3-methyl-2-hexenoic-acid,,0,
AgOr8,3-methyl-2-hexenoic-acid,,-2,
AgOr9,3-methyl-2-hexenoic-acid,,2,
AgOr10,3-methyl-2-hexenoic-acid,,-10,
AgOr11,3-methyl-2-hexenoic-acid,,-2,
AgOr12,3-methyl-2-hexenoic-acid,,2,
AgOr13,3-methyl-2-hexenoic-acid,,1,
AgOr15,3-methyl-2-hexenoic-acid,,3,
AgOr16,3-methyl-2-hexenoic-acid,,0,
AgOr18,3-methyl-2-hexenoic-acid,,1,
AgOr20,3-methyl-2-hexenoic-acid,,3,
AgOr21,3-methyl-2-hexenoic-acid,,-1,
AgOr23,3-methyl-2-hexenoic-acid,,0,
AgOr25,3-methyl-2-hexenoic-acid,,-10,
AgOr26,3-methyl-2-hexenoic-acid,,-2,
AgOr27,3-methyl-2-hexenoic-acid,,-3,
AgOr30,3-methyl-2-hexenoic-acid,,-1,
AgOr31,3-methyl-2-hexenoic-acid,,7,
AgOr32,3-methyl-2-hexenoic-acid,,-9,
AgOr33,3-methyl-2-hexenoic-acid,,-13,
AgOr35,3-methyl-2-hexenoic-acid,,-20,
AgOr38,3-methyl-2-hexenoic-acid,,-7,
AgOr39,3-methyl-2-hexenoic-acid,,4,
AgOr41,3-methyl-2-hexenoic-acid,,-23,
AgOr42,3-methyl-2-hexenoic-acid,,-18,
AgOr43,3-methyl-2-hexenoic-acid,,-9,
AgOr44,3-methyl-2-hexenoic-acid,,-14,
AgOr45,3-methyl-2-hexenoic-acid,,-8,
AgOr46,3-methyl-2-hexenoic-acid,,6,
AgOr48,3-methyl-2-hexenoic-acid,,-7,
AgOr50,3-methyl-2-hexenoic-acid,,-4,
AgOr53,3-methyl-2-hexenoic-acid,,-2,
AgOr54,3-methyl-2-hexenoic-acid,,-29,
AgOr56,3-methyl-2-hexenoic-acid,,-1,
AgOr57,3-methyl-2-hexenoic-acid,,13,
AgOr59,3-methyl-2-hexenoic-acid,,6,
AgOr61,3-methyl-2-hexenoic-acid,,-5,
AgOr63,3-methyl-2-hexenoic-acid,,-3,
AgOr64,3-methyl-2-hexenoic-acid,,2,
AgOr65,3-methyl-2-hexenoic-acid,,-3,
AgOr66,3-methyl-2-hexenoic-acid,,-18,
AgOr67,3-methyl-2-hexenoic-acid,,-8,
AgOr73,3-methyl-2-hexenoic-acid,,-3,
AgOr75,3-methyl-2-hexenoic-acid,,-15,
AgOr76,3-methyl-2-hexenoic-acid,,-2,
AgOr1,7-octenoic-acid,,-2,
AgOr2,7-octenoic-acid,,1,
AgOr3,7-octenoic-acid,,2,
AgOr4,7-octenoic-acid,,0,
AgOr5,7-octenoic-acid,,1,
AgOr6,7-octenoic-acid,,0,
AgOr8,7-octenoic-acid,,7,
AgOr9,7-octenoic-acid,,-2,
AgOr10,7-octenoic-acid,,4,
AgOr11,7-octenoic-acid,,-2,
AgOr12,7-octenoic-acid,,2,
AgOr13,7-octenoic-acid,,1,
AgOr15,7-octenoic-acid,,2,
AgOr16,7-octenoic-acid,,0,
AgOr18,7-octenoic-acid,,3,
AgOr20,7-octenoic-acid,,-1,
AgOr21,7-octenoic-acid,,-2,
AgOr23,7-octenoic-acid,,2,
AgOr25,7-octenoic-acid,,1,
AgOr26,7-octenoic-acid,,-1,
AgOr27,7-octenoic-acid,,-1,
AgOr30,7-octenoic-acid,,-1,
AgOr31,7-octenoic-acid,,2,
AgOr32,7-octenoic-acid,,0,
AgOr33,7-octenoic-acid,,0,
AgOr35,7-octenoic-acid,,1,
AgOr38,7-octenoic-acid,,2,
AgOr39,7-octenoic-acid,,3,
AgOr41,7-octenoic-acid,,-5,
AgOr42,7-octenoic-acid,,0,
AgOr43,7-octenoic-acid,,3,
AgOr44,7-octenoic-acid,,-2,
AgOr45,7-octenoic-acid,,-2,
AgOr46,7-octenoic-acid,,6,
AgOr48,7-octenoic-acid,,0,
AgOr50,7-octenoic-acid,,1,
AgOr53,7-octenoic-acid,,1,
AgOr54,7-octenoic-acid,,-1,
AgOr56,7-octenoic-acid,,0,
