RECEPTOR,odorant,SMILES,output,Protein sequence
AgOr30,gamma-decalactone,,-6,
AgOr31,gamma-decalactone,,3,
AgOr32,gamma-decalactone,,4,
AgOr33,gamma-decalactone,,1,
AgOr35,gamma-decalactone,,2,
AgOr38,gamma-decalactone,,3,
AgOr39,gamma-decalactone,,1,
AgOr41,gamma-decalactone,,0,
AgOr42,gamma-decalactone,,1,
AgOr43,gamma-decalactone,,1,
AgOr44,gamma-decalactone,,3,
AgOr45,gamma-decalactone,,2,
AgOr46,gamma-decalactone,,0,
AgOr48,gamma-decalactone,,18,
AgOr50,gamma-decalactone,,2,
AgOr53,gamma-decalactone,,3,
AgOr54,gamma-decalactone,,2,
AgOr56,gamma-decalactone,,-2,
AgOr57,gamma-decalactone,,4,
AgOr59,gamma-decalactone,,0,
AgOr61,gamma-decalactone,,0,
AgOr63,gamma-decalactone,,-1,
AgOr64,gamma-decalactone,,3,
AgOr65,gamma-decalactone,,5,
AgOr66,gamma-decalactone,,0,
AgOr67,gamma-decalactone,,5,
AgOr73,gamma-decalactone,,2,
AgOr75,gamma-decalactone,,1,
AgOr76,gamma-decalactone,,-4,
AgOr1,delta-decalactone,,2,
AgOr2,delta-decalactone,,1,
AgOr3,delta-decalactone,,1,
AgOr4,delta-decalactone,,0,
AgOr5,delta-decalactone,,1,
AgOr6,delta-decalactone,,1,
AgOr8,delta-decalactone,,0,
AgOr9,delta-decalactone,,-2,
AgOr10,delta-decalactone,,-2,
AgOr11,delta-decalactone,,-4,
AgOr12,delta-decalactone,,0,
AgOr13,delta-decalactone,,3,
AgOr15,delta-decalactone,,1,
AgOr16,delta-decalactone,,0,
AgOr18,delta-decalactone,,-4,
AgOr20,delta-decalactone,,4,
AgOr21,delta-decalactone,,1,
AgOr23,delta-decalactone,,1,
AgOr25,delta-decalactone,,1,
AgOr26,delta-decalactone,,0,
AgOr27,delta-decalactone,,3,
AgOr30,delta-decalactone,,-4,
AgOr31,delta-decalactone,,2,
AgOr32,delta-decalactone,,-1,
AgOr33,delta-decalactone,,-1,
AgOr35,delta-decalactone,,0,
AgOr38,delta-decalactone,,0,
AgOr39,delta-decalactone,,0,
AgOr41,delta-decalactone,,-3,
AgOr42,delta-decalactone,,-1,
AgOr43,delta-decalactone,,2,
AgOr44,delta-decalactone,,-3,
AgOr45,delta-decalactone,,1,
AgOr46,delta-decalactone,,0,
AgOr48,delta-decalactone,,23,
AgOr50,delta-decalactone,,-4,
AgOr53,delta-decalactone,,1,
AgOr54,delta-decalactone,,-6,
AgOr56,delta-decalactone,,-1,
AgOr57,delta-decalactone,,1,
AgOr59,delta-decalactone,,-2,
AgOr61,delta-decalactone,,4,
AgOr63,delta-decalactone,,1,
AgOr64,delta-decalactone,,-2,
AgOr65,delta-decalactone,,1,
AgOr66,delta-decalactone,,-1,
AgOr67,delta-decalactone,,6,
AgOr73,delta-decalactone,,-1,
AgOr75,delta-decalactone,,-1,
AgOr76,delta-decalactone,,2,
AgOr1,acetic-acid,,-4,
AgOr2,acetic-acid,,1,
AgOr3,acetic-acid,,2,
AgOr4,acetic-acid,,5,
AgOr5,acetic-acid,,1,
AgOr6,acetic-acid,,-1,
AgOr8,acetic-acid,,-2,
AgOr9,acetic-acid,,3,
AgOr10,acetic-acid,,4,
AgOr11,acetic-acid,,0,
AgOr12,acetic-acid,,-2,
AgOr13,acetic-acid,,-2,
AgOr15,acetic-acid,,2,
AgOr16,acetic-acid,,0,
AgOr18,acetic-acid,,1,
AgOr20,acetic-acid,,-1,
AgOr21,acetic-acid,,-1,
AgOr23,acetic-acid,,8,
AgOr25,acetic-acid,,-3,
AgOr26,acetic-acid,,-2,
AgOr27,acetic-acid,,2,
AgOr30,acetic-acid,,0,
AgOr31,acetic-acid,,0,
AgOr32,acetic-acid,,1,
AgOr33,acetic-acid,,-10,
AgOr35,acetic-acid,,-5,
AgOr38,acetic-acid,,2,
AgOr39,acetic-acid,,0,
